1;Художественная литература
2;Литература для детей
3;Учебная литература для школы
4;Иностранные языки
5;Искусство
6;Бизнес, экономика и право
7;Компьютерная литература
8;Психология
9;Медицина, здоровье, дети
10;Домашний круг
11;Научная литература
12;История. Политика. Социология
13;Путешествия, автомобили, спорт
14;Классическая и современная проза
15;Фантастика
16;Графические романы и манга
17;Фэнтези
18;Мистика
19;Детективы
20;Боевики
21;Приключения
22;Биографии
23;Мемуары
24;Поэзия
25;Юмор
26;Фольклор
27;Мифы
28;Дошкольное обучение, подготовка к школе
29;Детская религиозная литература
30;Детская научно-популярная литература
31;Творчество и досуг
32;Домоводство
33;Детские ремесла и моделирование
34;Досуг для детей
35;Начальная школа
36;Общая справочная литература
37;Гуманитарные дисциплины
38;Общественные дисциплины
39;Естественнонаучные дисциплины
40;Естествознание
41;Другие издания
42;Прикладные дисциплины
43;Педагогика и методика
44;Экономика, управление и бизнес
45;Финансы, банки, биржи
46;Бухгалтерия, аудит, налоги
47;Менеджмент и управление персоналом
48;Маркетинг, реклама, PR
49;Бизнес. Предпринимательство. Торговля
50;Право
51;Информатика
52;Безопасность ПК
53;Графика и дизайн
54;Мобильные устройства
55;Аппаратные средства
55;Самоучители работы на ПК
56;Операционные системы
57;Прикладное программное обеспечение
58;Интернет
59;Программирование
60;Базы данных
61;Оргтехника
62;История
63;Политика. Социология
64;Археология
65;Этнография
66;Военное
67;Путеводители и мемуары путешественников
68;Альбомы по городам и странам мира
69;Карты и атласы
70;Настенные карты
71;Спорт, самооборона
72;Автомобили, ПДД
73;Зарубежная
74;Отечественная